created_at;id_str;text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Mar 27 16:59:20 +0000 2023;1,64E+18;@Longsyeee__ @byu_id Lah iya, 2 SIM pake jaringan Telkomsel tapi yg ga muncul by.u doang;0;2;1;2;in;1,17E+18;1,64E+18;gadunsugar;https://twitter.com/gadunsugar/status/1640398107396694017
Mon Mar 27 15:13:22 +0000 2023;1,64E+18;@tanyakanrl apa kalian ga mau gini juga?  @byu_id @Telkomsel;0;0;0;0;in;1,53E+18;1,64E+18;marsrunner;https://twitter.com/marsrunner/status/1640371441085616128
Mon Mar 27 13:41:58 +0000 2023;1,64E+18;@silverlines17 @Clamboyan @Servishati24jam @worksfess sinyal telkomsel, kinda pricey tapi buat orang yang ga aware sama masa aktif sih lumayan ya soalnya byu gak ada masa aktipnya;0;3;0;0;in;1,44E+18;1,64E+18;fracturhepa;https://twitter.com/fracturhepa/status/1640348438427750401
Mon Mar 27 13:39:24 +0000 2023;1,64E+18;@tanyarlfes gaada yg mau jwb @byu_id ini?? wkwk walaupun msh termasuk telkomsel sejauh ini gabgtu mahal2 bgt kok nder. jaringan jg oke. untuk wilayah jabodetabek si kendala sinyal si sedikit ya.;0;1;0;0;in;384759712;1,64E+18;DinoGurll_;https://twitter.com/DinoGurll_/status/1640347793352167424
Mon Mar 27 11:23:07 +0000 2023;1,64E+18;@clalaree01 @Telkomsel Beneeeerrrrr!!! Enak banget kan byu HUHUHU;0;0;0;0;in;1263419504;1,64E+18;bismillahcamin;https://twitter.com/bismillahcamin/status/1640313496213798912
Mon Mar 27 10:14:36 +0000 2023;1,64E+18;@konstantine1616 @CryptoTechDAO @chaingamingx @alexey1616 @polina161661 @muhammadk4m @smartfrencare @byu_id @Telkomsel Yu ceritain keluhan kamu via DM, mohon informasikan juga ya nomor ticket kamu guna mempercepat penangangan... Terima Kasih;0;1;0;0;in;9,66E+17;1,64E+18;danawallet;https://twitter.com/danawallet/status/1640296252909969408
Mon Mar 27 10:09:55 +0000 2023;1,64E+18;@konstantine1616 @CryptoTechDAO @chaingamingx @alexey1616 @polina161661 @muhammadk4m @smartfrencare @byu_id @Telkomsel Live Chat siap bantu keluhan transaksi kamu: Buka app DANA, pilih History/Riwayat,  pilih transaksi yg mau dilaporin dan pilih CHAT.;0;1;0;0;in;9,66E+17;1,64E+18;danawallet;https://twitter.com/danawallet/status/1640295074989998080
Mon Mar 27 10:08:21 +0000 2023;1,64E+18;@alexey1616 @CryptoTechDAO @chaingamingx @polina161661 @konstantine1616 @muhammadk4m @Telkomsel @byu_id @smartfrenworld Yu ceritain keluhan kamu via DM, mohon informasikan juga ya nomor ticket kamu guna mempercepat penangangan... Terima Kasih;0;1;0;0;in;9,66E+17;1,64E+18;danawallet;https://twitter.com/danawallet/status/1640294680264077318
Mon Mar 27 10:04:25 +0000 2023;1,64E+18;@alexey1616 @CryptoTechDAO @chaingamingx @polina161661 @konstantine1616 @muhammadk4m @Telkomsel @byu_id @smartfrenworld Live Chat siap bantu keluhan transaksi kamu: Buka app DANA, pilih History/Riwayat,  pilih transaksi yg mau dilaporin dan pilih CHAT.;0;1;0;0;in;9,66E+17;1,64E+18;danawallet;https://twitter.com/danawallet/status/1640293688621535233
Mon Mar 27 10:00:46 +0000 2023;1,64E+18;@bayanganhalu @byu_id @Telkomsel refresh jaringan aja kak bisa pindahin dulu ke 2G only bbrapa detik abis itu balikin lg ke 4G otomatis itu ngaruh si di aku, kalo apps by u berkendala buat beli kuota/cek akun bisa coba akses website nya by u nnt login biasa sama kaya ke apps;0;0;0;0;in;1,62E+18;1,64E+18;Farahsyasyaysa;https://twitter.com/Farahsyasyaysa/status/1640292772329701376
